close, open, high, low, volume, atr14, psar, close_diff, ema_fast, ema_slow, ema_fast_diff, price_v_close, bar_time, position, alpha_imp1_ema_up, alpha_imp2_ema_pos_x, alpha_imp3_psar_up, alpha_imp4_close_up, alpha_imp6_price_v_close_thres, short_rev_imp1_rev_box, short_rev_imp2_ema_neg, short_rev_imp3_ema_neg_x, short_rev_imp4_close_neg, long_rev_imp1_rev_box, long_rev_imp2_ema_pos, long_rev_imp3_ema_pos_x, long_rev_imp4_close_pos, 
8.5400, 8.5000, 8.5400, 8.5000, 4000, 7.7514, 8.890750000, 0.040000000, 8.542398137, 8.271003361, -0.000599534, , 2019-08-14 11:51:00, FLAT, , , , , , , , , , , , , , , 
8.5100, 8.5000, 8.5100, 8.5000, 1400, 7.7514, 8.886542500, -0.030000000, 8.535918509, 8.293764945, -0.006479627, , 2019-08-14 11:54:00, FLAT, , , , , , , , , , , , , , , 
8.5100, 8.5100, 8.5100, 8.5100, 0, 7.7514, 8.882377075, 0.000000000, 8.530734808, 8.314358760, -0.005183702, , 2019-08-14 11:57:00, FLAT, , , , , , , , , , , , , , , 
8.5400, 8.5400, 8.5500, 8.5400, 400, 7.7514, 8.878253304, 0.030000000, 8.532587846, 8.335848402, 0.001853038, , 2019-08-14 12:00:00, FLAT, , , , , , , , , , , , , , , 
8.5000, 8.5200, 8.5200, 8.5000, 300, 7.7514, 8.874170771, -0.040000000, 8.526070277, 8.351481888, -0.006517569, , 2019-08-14 12:03:00, FLAT, , , , , , , , , , , , , , , 
8.5000, 8.5000, 8.5000, 8.5000, 0, 7.7514, 8.870129063, 0.000000000, 8.520856221, 8.365626470, -0.005214055, , 2019-08-14 12:06:00, FLAT, , , , , , , , , , , , , , , 
8.4400, 8.4775, 8.4850, 8.3900, 24600, 7.7514, 8.866127773, -0.060000000, 8.504684977, 8.372709663, -0.016171244, , 2019-08-14 12:09:00, FLAT, , , , , , , , , , , , , , , 
8.4400, 8.4400, 8.4400, 8.4400, 0, 7.7514, 8.856605217, 0.000000000, 8.491747982, 8.379118267, -0.012936995, , 2019-08-14 12:12:00, FLAT, , , , , , , , , , , , , , , 
8.4798, 8.4750, 8.4798, 8.4750, 200, 7.7514, 8.847273113, 0.039800000, 8.489358385, 8.388707003, -0.002389596, , 2019-08-14 12:15:00, FLAT, , , , , , , , , , , , , , , 
8.4798, 8.4798, 8.4798, 8.4798, 0, 7.7514, 8.838127651, 0.000000000, 8.487446708, 8.397382527, -0.001911677, , 2019-08-14 12:18:00, FLAT, , , , , , , , , , , , , , , 
8.4500, 8.4500, 8.4500, 8.4500, 200, 7.7514, 8.829165098, -0.029800000, 8.479957367, 8.402393715, -0.007489342, , 2019-08-14 12:21:00, FLAT, , , , , , , , , , , , , , , 
8.4500, 8.4500, 8.4500, 8.4500, 0, 7.7514, 8.820381796, 0.000000000, 8.473965893, 8.406927646, -0.005991473, , 2019-08-14 12:24:00, FLAT, , , , , , , , , , , , , , , 
8.4300, 8.4100, 8.4600, 8.4000, 2391, 7.7514, 8.811774160, -0.020000000, 8.465172715, 8.409125013, -0.008793179, , 2019-08-14 12:27:00, FLAT, , , , , , , , , , , , , , , 
8.5800, 8.4600, 8.5800, 8.4600, 1400, 7.7514, 8.803338677, 0.150000000, 8.488138172, 8.425398822, 0.022965457, , 2019-08-14 12:30:00, FLAT, , , , , , , , , , , , , , , 
8.5100, 8.5100, 8.6493, 8.5100, 9950, 7.7514, 8.795071903, -0.070000000, 8.492510537, 8.433456077, 0.004372366, , 2019-08-14 12:33:00, FLAT, , , , , , , , , , , , , , , 
8.5000, 8.5700, 8.5700, 8.5000, 16900, 7.7514, 8.786970465, -0.010000000, 8.494008430, 8.439793593, 0.001497893, , 2019-08-14 12:36:00, FLAT, , , , , , , , , , , , , , , 
8.5500, 8.5500, 8.5500, 8.5500, 400, 7.7514, 8.779031056, 0.050000000, 8.505206744, 8.450289442, 0.011198314, , 2019-08-14 12:39:00, FLAT, , , , , , , , , , , , , , , 
8.5500, 8.5500, 8.5500, 8.5500, 0, 7.7514, 8.771250435, 0.000000000, 8.514165395, 8.459785685, 0.008958651, , 2019-08-14 12:42:00, FLAT, , , , , , , , , , , , , , , 
8.5100, 8.5500, 8.5500, 8.5100, 500, 7.7514, 8.763625426, -0.040000000, 8.513332316, 8.464568001, -0.000833079, , 2019-08-14 12:45:00, FLAT, , , , , , , , , , , , , , , 
8.5100, 8.5100, 8.5100, 8.5100, 0, 7.7514, 8.756152917, 0.000000000, 8.512665853, 8.468894858, -0.000666463, , 2019-08-14 12:48:00, FLAT, , , , , , , , , , , , , , , 
8.4800, 8.4800, 8.4800, 8.4800, 100, 7.7514, 8.748829859, -0.030000000, 8.506132682, 8.469952491, -0.006533171, , 2019-08-14 12:51:00, FLAT, , , , , , , , , , , , , , , 
8.5800, 8.5200, 8.5800, 8.5200, 800, 7.7514, 8.741653262, 0.100000000, 8.520906146, 8.480433206, 0.014773464, , 2019-08-14 12:54:00, FLAT, , , , , , , , , , , , , , , 
8.6900, 8.5800, 8.6900, 8.5800, 600, 7.7514, 8.734620197, 0.110000000, 8.554724917, 8.500391948, 0.033818771, , 2019-08-14 12:57:00, FLAT, , , , , , , , , , , , , , , 
8.6000, 8.7000, 8.7300, 8.6000, 15800, 7.7514, 8.390000000, -0.090000000, 8.563779933, 8.509878429, 0.009055017, , 2019-08-14 13:00:00, FLAT, , , , , , , , , , , , , , , 
8.6000, 8.6000, 8.6000, 8.5900, 3000, 7.7514, 8.393400000, 0.000000000, 8.571023947, 8.518461436, 0.007244013, , 2019-08-14 13:03:00, FLAT, , , , , , , , , , , , , , , 
8.6400, 8.6200, 8.6400, 8.6200, 5800, 7.7514, 8.396766000, 0.040000000, 8.584819157, 8.530036537, 0.013795211, , 2019-08-14 13:06:00, FLAT, , , , , , , , , , , , , , , 
8.6100, 8.6900, 8.7200, 8.6100, 11622, 7.7514, 8.400098340, -0.030000000, 8.589855326, 8.537652105, 0.005036169, , 2019-08-14 13:09:00, FLAT, , , , , , , , , , , , , , , 
8.6100, 8.6300, 8.6300, 8.6000, 9200, 7.7514, 8.403397357, 0.000000000, 8.593884261, 8.544542381, 0.004028935, , 2019-08-14 13:12:00, FLAT, , , , , , , , , , , , , , , 
8.6400, 8.6500, 8.6500, 8.6400, 2700, 7.7514, 8.406663383, 0.030000000, 8.603107409, 8.553633583, 0.009223148, , 2019-08-14 13:15:00, FLAT, , , , , , , , , , , , , , , 
8.6400, 8.6400, 8.6400, 8.6400, 0, 7.7514, 8.409896749, 0.000000000, 8.610485927, 8.561858956, 0.007378518, , 2019-08-14 13:18:00, FLAT, , , , , , , , , , , , , , , 
8.5500, 8.5900, 8.5900, 8.5500, 1200, 7.7514, 8.413097782, -0.090000000, 8.598388741, 8.560729531, -0.012097185, , 2019-08-14 13:21:00, FLAT, , , , , , , , , , , , , , , 
8.6000, 8.6000, 8.6000, 8.6000, 7000, 7.7514, 8.416266804, 0.050000000, 8.598710993, 8.564469576, 0.000322252, , 2019-08-14 13:24:00, FLAT, , , , , , , , , , , , , , , 
8.6000, 8.6000, 8.6000, 8.6000, 0, 7.7514, 8.419404136, 0.000000000, 8.598968795, 8.567853426, 0.000257801, , 2019-08-14 13:27:00, FLAT, , , , , , , , , , , , , , , 
8.6000, 8.6000, 8.6000, 8.6000, 0, 7.7514, 8.422510094, 0.000000000, 8.599175036, 8.570915004, 0.000206241, , 2019-08-14 13:30:00, FLAT, , , , , , , , , , , , , , , 
8.6500, 8.6500, 8.6500, 8.6500, 100, 7.7514, 8.425584994, 0.050000000, 8.609340029, 8.578446909, 0.010164993, , 2019-08-14 13:33:00, FLAT, , , , , , , , , , , , , , , 
8.6500, 8.6500, 8.6500, 8.6500, 0, 7.7514, 8.428629144, 0.000000000, 8.617472023, 8.585261489, 0.008131994, , 2019-08-14 13:36:00, FLAT, , , , , , , , , , , , , , , 
8.7100, 8.7100, 8.7100, 8.7100, 100, 7.7514, 8.431642852, 0.060000000, 8.635977618, 8.597141347, 0.018505595, , 2019-08-14 13:39:00, FLAT, , , , , , , , , , , , , , , 
8.7400, 8.7500, 8.7600, 8.7100, 5412, 7.7514, 8.434626424, 0.030000000, 8.656782095, 8.610746933, 0.020804476, , 2019-08-14 13:42:00, FLAT, , , , , , , , , , , , , , , 
8.7400, 8.7400, 8.7400, 8.7400, 5115, 7.7514, 8.441133895, 0.000000000, 8.673425676, 8.623056749, 0.016643581, , 2019-08-14 13:45:00, FLAT, , , , , , , , , , , , , , , 
8.7400, 8.7400, 8.7400, 8.7400, 0, 7.7514, 8.447511217, 0.000000000, 8.686740541, 8.634194201, 0.013314865, , 2019-08-14 13:48:00, FLAT, , , , , , , , , , , , , , , 
8.7400, 8.7400, 8.7400, 8.7400, 0, 7.7514, 8.453760993, 0.000000000, 8.697392432, 8.644270944, 0.010651892, , 2019-08-14 13:51:00, FLAT, , , , , , , , , , , , , , , 
8.6400, 8.7400, 8.7400, 8.6400, 8337, 7.7514, 8.459885773, -0.100000000, 8.685913946, 8.643864188, -0.011478486, , 2019-08-14 13:54:00, FLAT, , , , , , , , , , , , , , , 
8.6400, 8.6400, 8.6400, 8.6400, 0, 7.7514, 8.465888058, 0.000000000, 8.676731157, 8.643496170, -0.009182789, , 2019-08-14 13:57:00, FLAT, , , , , , , , , , , , , , , 
8.6400, 8.6400, 8.6400, 8.6400, 0, 7.7514, 8.471770296, 0.000000000, 8.669384925, 8.643163201, -0.007346231, , 2019-08-14 14:00:00, FLAT, , , , , , , , , , , , , , , 
8.7200, 8.6300, 8.7400, 8.6300, 8737, 7.7514, 8.477534891, 0.080000000, 8.679507940, 8.650480992, 0.010123015, , 2019-08-14 14:03:00, FLAT, , , , , , , , , , , , , , , 
8.7100, 8.7200, 8.7200, 8.7000, 5883, 7.7514, 8.483184193, -0.010000000, 8.685606352, 8.656149469, 0.006098412, , 2019-08-14 14:06:00, FLAT, , , , , , , , , , , , , , , 
8.7100, 8.7100, 8.7100, 8.7100, 0, 7.7514, 8.488720509, 0.000000000, 8.690485082, 8.661278091, 0.004878730, , 2019-08-14 14:09:00, FLAT, , , , , , , , , , , , , , , 
8.7100, 8.7100, 8.7100, 8.7100, 0, 7.7514, 8.494146099, 0.000000000, 8.694388065, 8.665918272, 0.003902984, , 2019-08-14 14:12:00, FLAT, , , , , , , , , , , , , , , 
8.7100, 8.7100, 8.7100, 8.7100, 0, 7.7514, 8.499463177, 0.000000000, 8.697510452, 8.670116532, 0.003122387, , 2019-08-14 14:15:00, FLAT, , , , , , , , , , , , , , , 
8.6000, 8.7000, 8.7000, 8.6000, 15192, 7.7514, 8.504673913, -0.110000000, 8.678008362, 8.663438767, -0.019502090, , 2019-08-14 14:18:00, FLAT, , , , , , , , , , , , , , , 
8.5700, 8.6000, 8.6100, 8.5500, 1300, 7.7514, 8.509780435, -0.030000000, 8.656406690, 8.654539837, -0.021601672, , 2019-08-14 14:21:00, FLAT, , , , , , , , , , , , , , , 
8.6100, 8.5700, 8.6100, 8.5700, 32129, 7.7514, 8.514784826, 0.040000000, 8.647125352, 8.650297948, -0.009281338, , 2019-08-14 14:24:00, FLAT, , , , , , , , , , , , , , , 
8.6500, 8.6200, 8.6500, 8.6200, 7100, 7.7514, 8.519689130, 0.040000000, 8.647700281, 8.650269572, 0.000574930, , 2019-08-14 14:27:00, FLAT, , , , , , , , , , , , , , , 
8.7385, 8.6300, 8.7385, 8.6300, 3000, 7.7514, 8.524495347, 0.088500000, 8.665860225, 8.658672470, 0.018159944, , 2019-08-14 14:30:00, FLAT, , , , , , , , , , , , , , , 
8.7385, 8.7385, 8.7385, 8.7385, 0, 7.7514, 8.529205440, 0.000000000, 8.680388180, 8.666275092, 0.014527955, , 2019-08-14 14:33:00, FLAT, , , , , , , , , , , , , , , 
8.7385, 8.7385, 8.7385, 8.7385, 0, 7.7514, 8.533821331, 0.000000000, 8.692010544, 8.673153654, 0.011622364, , 2019-08-14 14:36:00, FLAT, , , , , , , , , , , , , , , 
8.7600, 8.7500, 8.7790, 8.7500, 500, 7.7514, 8.538344905, 0.021500000, 8.705608435, 8.681424735, 0.013597891, , 2019-08-14 14:39:00, FLAT, , , , , , , , , , , , , , , 
8.7895, 8.7800, 8.7895, 8.7800, 200, 7.7514, 8.545564558, 0.029500000, 8.722386748, 8.691717617, 0.016778313, , 2019-08-14 14:42:00, FLAT, , , , , , , , , , , , , , , 
8.7000, 8.8000, 8.8100, 8.7000, 8500, 7.7514, 8.555321975, -0.089500000, 8.717909399, 8.692506416, -0.004477350, , 2019-08-14 14:45:00, FLAT, , , , , , , , , , , , , , , 
8.7000, 8.7000, 8.7000, 8.7000, 0, 7.7514, 8.568055877, 0.000000000, 8.714327519, 8.693220090, -0.003581880, , 2019-08-14 14:48:00, FLAT, , , , , , , , , , , , , , , 
8.7000, 8.7000, 8.7000, 8.7000, 0, 7.7514, 8.580153083, 0.000000000, 8.711462015, 8.693865796, -0.002865504, , 2019-08-14 14:51:00, FLAT, , , , , , , , , , , , , , , 
