close, open, high, low, volume, atr14, psar, close_diff, ema_fast, ema_slow, ema_fast_diff, price_v_close, bar_time, position, alpha_imp1_ema_up, alpha_imp2_ema_pos_x, alpha_imp3_psar_up, alpha_imp4_close_up, alpha_imp6_price_v_close_thres, short_rev_imp1_rev_box, short_rev_imp2_ema_neg, short_rev_imp3_ema_neg_x, short_rev_imp4_close_neg, long_rev_imp1_rev_box, long_rev_imp2_ema_pos, long_rev_imp3_ema_pos_x, long_rev_imp4_close_pos, ,
9.62,9.62,9.62,9.62,100,7.5972,9.423606761,0,9.554813231,4.299,0.016296692, , 2019-08-06 10:30:00, FLAT, , , , , , , , , , , , , , , 
9.67,9.61,9.67,9.61,400,7.5972,9.428934626,0.05,9.577850585,4.81052381,0.023037354, , 2019-08-06 10:33:00, FLAT, , , , , , , , , , , , , , , 
9.67,9.67,9.67,9.67,0,7.5972,9.434155934,0,9.596280468,5.273331066,0.018429883, , 2019-08-06 10:36:00, FLAT, , , , , , , , , , , , , , , 
9.67,9.67,9.67,9.67,0,7.5972,9.439272815,0,9.611024374,5.69206144,0.014743906, , 2019-08-06 10:39:00, FLAT, , , , , , , , , , , , , , , 
9.67,9.67,9.67,9.67,0,7.5972,9.444287359,0,9.622819499,6.070912732,0.011795125, , 2019-08-06 10:42:00, FLAT, , , , , , , , , , , , , , , 
9.6995,9.62,9.6995,9.62,4910,7.5972,9.449201612,0.0295,9.638155599,6.416492472,0.0153361, , 2019-08-06 10:45:00, FLAT, , , , , , , , , , , , , , , 
9.62,9.65,9.65,9.62,400,7.5972,9.456710563,-0.0795,9.63452448,6.721588427,-0.00363112, , 2019-08-06 10:48:00, FLAT, , , , , , , , , , , , , , , 
9.62,9.62,9.62,9.62,200,7.5972,9.463994246,0,9.631619584,6.997627624,-0.002904896, , 2019-08-06 10:51:00, FLAT, , , , , , , , , , , , , , , 
9.62,9.62,9.62,9.62,0,7.5972,9.471059419,0,9.629295667,7.247377374,-0.002323917, , 2019-08-06 10:54:00, FLAT, , , , , , , , , , , , , , , 
9.6,9.65,9.65,9.6,13300,7.5972,9.477912636,-0.02,9.623436534,7.471436672,-0.005859133, , 2019-08-06 10:57:00, FLAT, , , , , , , , , , , , , , , 
